Dish Name,Category,Serving Size,Calories (kcal),Carbs (g),Protein (g),Fat (g),Notes
Bistek Tagalog (Budget Bowl),Lunch/Dinner,1 cup (200g),255,8,23,13,Beef steak with onions & soy
Giniling (Pork) (Small Serving),Lunch/Dinner,1 cup (200g),240,10,18,13,Ground pork with peas & carrots
Giniling (Pork) (Large Serving),Lunch/Dinner,1 cup (200g),400,17,30,22,Ground pork with peas & carrots
Giniling (Pork) (Spicy Variant),Lunch/Dinner,1 cup (200g),320,14,24,18,Ground pork with peas & carrots; spicy
Giniling (Pork) (Low-Sodium),Lunch/Dinner,1 cup (200g),320,14,24,18,Ground pork with peas & carrots; reduced salt
Giniling (Pork) (With Brown Rice),Lunch/Dinner,1 cup (200g),336,20,25,18,Ground pork with peas & carrots; whole grain option
Giniling (Pork) (Fiesta Portion),Lunch/Dinner,1 cup (200g),448,19,33,25,Ground pork with peas & carrots
Giniling (Pork) (Budget Bowl),Lunch/Dinner,1 cup (200g),272,11,20,15,Ground pork with peas & carrots
Tokwa't Baboy (Small Serving),Snack/Lunch,1 plate (200g),240,10,16,13,Fried tofu & pork in vinegar
Tokwa't Baboy (Large Serving),Snack/Lunch,1 plate (200g),400,17,27,22,Fried tofu & pork in vinegar
Tokwa't Baboy (Spicy Variant),Snack/Lunch,1 plate (200g),320,14,22,18,Fried tofu & pork in vinegar; spicy
Tokwa't Baboy (Low-Sodium),Snack/Lunch,1 plate (200g),320,14,22,18,Fried tofu & pork in vinegar; reduced salt
Tokwa't Baboy (With Brown Rice),Snack/Lunch,1 plate (200g),336,20,23,18,Fried tofu & pork in vinegar; whole grain option
Tokwa't Baboy (Fiesta Portion),Snack/Lunch,1 plate (200g),448,19,30,25,Fried tofu & pork in vinegar
Tokwa't Baboy (Budget Bowl),Snack/Lunch,1 plate (200g),272,11,18,15,Fried tofu & pork in vinegar
Sinigang na Baboy (Small Serving),Lunch/Dinner,1 bowl (250g),225,6,16,15,Sour tamarind soup
Sinigang na Baboy (Large Serving),Lunch/Dinner,1 bowl (250g),375,10,27,25,Sour tamarind soup
Sinigang na Baboy (Spicy Variant),Lunch/Dinner,1 bowl (250g),300,8,22,20,Sour tamarind soup; spicy
Sinigang na Baboy (Low-Sodium),Lunch/Dinner,1 bowl (250g),300,8,22,20,Sour tamarind soup; reduced salt
Sinigang na Baboy (With Brown Rice),Lunch/Dinner,1 bowl (250g),315,14,23,21,Sour tamarind soup; whole grain option
Sinigang na Baboy (Fiesta Portion),Lunch/Dinner,1 bowl (250g),420,11,30,28,Sour tamarind soup
Sinigang na Baboy (Budget Bowl),Lunch/Dinner,1 bowl (250g),255,6,18,17,Sour tamarind soup
Sinigang na Baka (Small Serving),Lunch/Dinner,1 bowl (250g),240,6,18,16,Beef version
Sinigang na Baka (Large Serving),Lunch/Dinner,1 bowl (250g),400,10,30,27,Beef version
Sinigang na Baka (Spicy Variant),Lunch/Dinner,1 bowl (250g),320,8,24,22,Beef version; spicy
Sinigang na Baka (Low-Sodium),Lunch/Dinner,1 bowl (250g),320,8,24,22,Beef version; reduced salt
Sinigang na Baka (With Brown Rice),Lunch/Dinner,1 bowl (250g),336,14,25,23,Beef version; whole grain option
Sinigang na Baka (Fiesta Portion),Lunch/Dinner,1 bowl (250g),448,11,33,30,Beef version
Sinigang na Baka (Budget Bowl),Lunch/Dinner,1 bowl (250g),272,6,20,18,Beef version
Sinigang na Hipon (Small Serving),Lunch/Dinner,1 bowl (250g),187,5,15,11,Shrimp version
Sinigang na Hipon (Large Serving),Lunch/Dinner,1 bowl (250g),312,8,25,18,Shrimp version
Sinigang na Hipon (Spicy Variant),Lunch/Dinner,1 bowl (250g),250,7,20,15,Shrimp version; spicy
Sinigang na Hipon (Low-Sodium),Lunch/Dinner,1 bowl (250g),250,7,20,15,Shrimp version; reduced salt
Sinigang na Hipon (With Brown Rice),Lunch/Dinner,1 bowl (250g),262,13,21,15,Shrimp version; whole grain option
Sinigang na Hipon (Fiesta Portion),Lunch/Dinner,1 bowl (250g),350,9,28,21,Shrimp version
Sinigang na Hipon (Budget Bowl),Lunch/Dinner,1 bowl (250g),212,5,17,12,Shrimp version
Sinigang sa Miso (Bangus) (Small Serving),Lunch/Dinner,1 bowl (250g),210,6,16,12,Milkfish in miso-tamarind soup
Sinigang sa Miso (Bangus) (Large Serving),Lunch/Dinner,1 bowl (250g),350,11,27,20,Milkfish in miso-tamarind soup
Sinigang sa Miso (Bangus) (Spicy Variant),Lunch/Dinner,1 bowl (250g),280,9,22,16,Milkfish in miso-tamarind soup; spicy
Sinigang sa Miso (Bangus) (Low-Sodium),Lunch/Dinner,1 bowl (250g),280,9,22,16,Milkfish in miso-tamarind soup; reduced salt
Sinigang sa Miso (Bangus) (With Brown Rice),Lunch/Dinner,1 bowl (250g),294,15,23,16,Milkfish in miso-tamarind soup; whole grain option
Sinigang sa Miso (Bangus) (Fiesta Portion),Lunch/Dinner,1 bowl (250g),392,12,30,22,Milkfish in miso-tamarind soup
Sinigang sa Miso (Bangus) (Budget Bowl),Lunch/Dinner,1 bowl (250g),238,7,18,13,Milkfish in miso-tamarind soup
Tinola (Chicken) (Small Serving),Lunch/Dinner,1 bowl (250g),157,4,18,7,Ginger broth with papaya & sayote
Tinola (Chicken) (Large Serving),Lunch/Dinner,1 bowl (250g),262,7,31,12,Ginger broth with papaya & sayote
Tinola (Chicken) (Spicy Variant),Lunch/Dinner,1 bowl (250g),210,6,25,10,Ginger broth with papaya & sayote; spicy
Tinola (Chicken) (Low-Sodium),Lunch/Dinner,1 bowl (250g),210,6,25,10,Ginger broth with papaya & sayote; reduced salt
Tinola (Chicken) (With Brown Rice),Lunch/Dinner,1 bowl (250g),220,12,26,10,Ginger broth with papaya & sayote; whole grain option
Tinola (Chicken) (Fiesta Portion),Lunch/Dinner,1 bowl (250g),294,8,35,14,Ginger broth with papaya & sayote
Tinola (Chicken) (Budget Bowl),Lunch/Dinner,1 bowl (250g),178,5,21,8,Ginger broth with papaya & sayote
Nilagang Baka (Small Serving),Lunch/Dinner,1 bowl (250g),210,7,18,12,Boiled beef soup with veggies
Nilagang Baka (Large Serving),Lunch/Dinner,1 bowl (250g),350,12,30,20,Boiled beef soup with veggies
Nilagang Baka (Spicy Variant),Lunch/Dinner,1 bowl (250g),280,10,24,16,Boiled beef soup with veggies; spicy
Nilagang Baka (Low-Sodium),Lunch/Dinner,1 bowl (250g),280,10,24,16,Boiled beef soup with veggies; reduced salt
Nilagang Baka (With Brown Rice),Lunch/Dinner,1 bowl (250g),294,16,25,16,Boiled beef soup with veggies; whole grain option
Nilagang Baka (Fiesta Portion),Lunch/Dinner,1 bowl (250g),392,14,33,22,Boiled beef soup with veggies
Nilagang Baka (Budget Bowl),Lunch/Dinner,1 bowl (250g),238,8,20,13,Boiled beef soup with veggies
Bulalo (Small Serving),Lunch/Dinner,1 bowl (300g),360,7,22,25,Bone marrow beef shank soup
Bulalo (Large Serving),Lunch/Dinner,1 bowl (300g),600,12,37,42,Bone marrow beef shank soup
Bulalo (Spicy Variant),Lunch/Dinner,1 bowl (300g),480,10,30,34,Bone marrow beef shank soup; spicy
Bulalo (Low-Sodium),Lunch/Dinner,1 bowl (300g),480,10,30,34,Bone marrow beef shank soup; reduced salt
Bulalo (With Brown Rice),Lunch/Dinner,1 bowl (300g),504,16,31,35,Bone marrow beef shank soup; whole grain option
Bulalo (Fiesta Portion),Lunch/Dinner,1 bowl (300g),672,14,42,47,Bone marrow beef shank soup
Bulalo (Budget Bowl),Lunch/Dinner,1 bowl (300g),408,8,25,28,Bone marrow beef shank soup
Sinigang sa Bayabas (Small Serving),Lunch/Dinner,1 bowl (250g),202,7,15,10,Guava-based sour soup
Sinigang sa Bayabas (Large Serving),Lunch/Dinner,1 bowl (250g),337,12,25,17,Guava-based sour soup
Sinigang sa Bayabas (Spicy Variant),Lunch/Dinner,1 bowl (250g),270,10,20,14,Guava-based sour soup; spicy
Sinigang sa Bayabas (Low-Sodium),Lunch/Dinner,1 bowl (250g),270,10,20,14,Guava-based sour soup; reduced salt
Sinigang sa Bayabas (With Brown Rice),Lunch/Dinner,1 bowl (250g),283,16,21,14,Guava-based sour soup; whole grain option
Sinigang sa Bayabas (Fiesta Portion),Lunch/Dinner,1 bowl (250g),378,14,28,19,Guava-based sour soup
Sinigang sa Bayabas (Budget Bowl),Lunch/Dinner,1 bowl (250g),229,8,17,11,Guava-based sour soup
Pininyahang Manok (Small Serving),Lunch/Dinner,1 cup (200g),240,12,16,13,Chicken with pineapple
Pininyahang Manok (Large Serving),Lunch/Dinner,1 cup (200g),400,20,27,22,Chicken with pineapple
Pininyahang Manok (Spicy Variant),Lunch/Dinner,1 cup (200g),320,16,22,18,Chicken with pineapple; spicy
Pininyahang Manok (Low-Sodium),Lunch/Dinner,1 cup (200g),320,16,22,18,Chicken with pineapple; reduced salt
Pininyahang Manok (With Brown Rice),Lunch/Dinner,1 cup (200g),336,22,23,18,Chicken with pineapple; whole grain option
Pininyahang Manok (Fiesta Portion),Lunch/Dinner,1 cup (200g),448,22,30,25,Chicken with pineapple
Pininyahang Manok (Budget Bowl),Lunch/Dinner,1 cup (200g),272,13,18,15,Chicken with pineapple
Pochero (Luzon) (Small Serving),Lunch/Dinner,1 bowl (300g),285,16,18,13,Banana & tomato broth
Pochero (Luzon) (Large Serving),Lunch/Dinner,1 bowl (300g),475,27,30,22,Banana & tomato broth
Pochero (Luzon) (Spicy Variant),Lunch/Dinner,1 bowl (300g),380,22,24,18,Banana & tomato broth; spicy
Pochero (Luzon) (Low-Sodium),Lunch/Dinner,1 bowl (300g),380,22,24,18,Banana & tomato broth; reduced salt
Pochero (Luzon) (With Brown Rice),Lunch/Dinner,1 bowl (300g),399,29,25,18,Banana & tomato broth; whole grain option
Pochero (Luzon) (Fiesta Portion),Lunch/Dinner,1 bowl (300g),532,30,33,25,Banana & tomato broth
Pochero (Luzon) (Budget Bowl),Lunch/Dinner,1 bowl (300g),323,18,20,15,Banana & tomato broth
Pochero (Visayas) (Small Serving),Lunch/Dinner,1 bowl (300g),315,18,19,15,With chorizo & saba
Pochero (Visayas) (Large Serving),Lunch/Dinner,1 bowl (300g),525,30,32,25,With chorizo & saba
Pochero (Visayas) (Spicy Variant),Lunch/Dinner,1 bowl (300g),420,24,26,20,With chorizo & saba; spicy
Pochero (Visayas) (Low-Sodium),Lunch/Dinner,1 bowl (300g),420,24,26,20,With chorizo & saba; reduced salt
Pochero (Visayas) (With Brown Rice),Lunch/Dinner,1 bowl (300g),441,31,27,21,With chorizo & saba; whole grain option
Pochero (Visayas) (Fiesta Portion),Lunch/Dinner,1 bowl (300g),588,33,36,28,With chorizo & saba
Pochero (Visayas) (Budget Bowl),Lunch/Dinner,1 bowl (300g),357,20,22,17,With chorizo & saba
Humba (Visayas) (Small Serving),Lunch/Dinner,1 cup (200g),315,12,16,21,Braised pork with black beans
Humba (Visayas) (Large Serving),Lunch/Dinner,1 cup (200g),525,20,27,35,Braised pork with black beans
Humba (Visayas) (Spicy Variant),Lunch/Dinner,1 cup (200g),420,16,22,28,Braised pork with black beans; spicy
Humba (Visayas) (Low-Sodium),Lunch/Dinner,1 cup (200g),420,16,22,28,Braised pork with black beans; reduced salt
Humba (Visayas) (With Brown Rice),Lunch/Dinner,1 cup (200g),441,22,23,29,Braised pork with black beans; whole grain option
Humba (Visayas) (Fiesta Portion),Lunch/Dinner,1 cup (200g),588,22,30,39,Braised pork with black beans
Humba (Visayas) (Budget Bowl),Lunch/Dinner,1 cup (200g),357,13,18,23,Braised pork with black beans
Igado (Ilocos) (Small Serving),Lunch/Dinner,1 cup (200g),255,7,18,16,Pork & liver stew
Igado (Ilocos) (Large Serving),Lunch/Dinner,1 cup (200g),425,12,30,27,Pork & liver stew
Igado (Ilocos) (Spicy Variant),Lunch/Dinner,1 cup (200g),340,10,24,22,Pork & liver stew; spicy
Igado (Ilocos) (Low-Sodium),Lunch/Dinner,1 cup (200g),340,10,24,22,Pork & liver stew; reduced salt
Igado (Ilocos) (With Brown Rice),Lunch/Dinner,1 cup (200g),357,16,25,23,Pork & liver stew; whole grain option
Igado (Ilocos) (Fiesta Portion),Lunch/Dinner,1 cup (200g),475,14,33,30,Pork & liver stew
Igado (Ilocos) (Budget Bowl),Lunch/Dinner,1 cup (200g),289,8,20,18,Pork & liver stew
Papaitan (Ilocos) (Small Serving),Lunch/Dinner,1 bowl (250g),195,4,18,10,Bitter beef innards soup
Papaitan (Ilocos) (Large Serving),Lunch/Dinner,1 bowl (250g),325,7,30,17,Bitter beef innards soup
Papaitan (Ilocos) (Spicy Variant),Lunch/Dinner,1 bowl (250g),260,6,24,14,Bitter beef innards soup; spicy
Papaitan (Ilocos) (Low-Sodium),Lunch/Dinner,1 bowl (250g),260,6,24,14,Bitter beef innards soup; reduced salt
Papaitan (Ilocos) (With Brown Rice),Lunch/Dinner,1 bowl (250g),273,12,25,14,Bitter beef innards soup; whole grain option
Papaitan (Ilocos) (Fiesta Portion),Lunch/Dinner,1 bowl (250g),364,8,33,19,Bitter beef innards soup
Papaitan (Ilocos) (Budget Bowl),Lunch/Dinner,1 bowl (250g),221,5,20,11,Bitter beef innards soup
Bagnet (Ilocos) (Small Serving),Lunch/Dinner,120g,390,2,16,30,Crispy deep-fried pork
Bagnet (Ilocos) (Large Serving),Lunch/Dinner,120g,650,3,27,50,Crispy deep-fried pork
Bagnet (Ilocos) (Spicy Variant),Lunch/Dinner,120g,520,3,22,40,Crispy deep-fried pork; spicy
Bagnet (Ilocos) (Low-Sodium),Lunch/Dinner,120g,520,3,22,40,Crispy deep-fried pork; reduced salt
Bagnet (Ilocos) (With Brown Rice),Lunch/Dinner,120g,546,9,23,42,Crispy deep-fried pork; whole grain option
Bagnet (Ilocos) (Fiesta Portion),Lunch/Dinner,120g,728,4,30,56,Crispy deep-fried pork
Bagnet (Ilocos) (Budget Bowl),Lunch/Dinner,120g,442,2,18,34,Crispy deep-fried pork
Dinuguan (Small Serving),Lunch/Dinner,1 cup (200g),225,6,15,15,Pork blood stew
Dinuguan (Large Serving),Lunch/Dinner,1 cup (200g),375,10,25,25,Pork blood stew
Dinuguan (Spicy Variant),Lunch/Dinner,1 cup (200g),300,8,20,20,Pork blood stew; spicy
Dinuguan (Low-Sodium),Lunch/Dinner,1 cup (200g),300,8,20,20,Pork blood stew; reduced salt
Dinuguan (With Brown Rice),Lunch/Dinner,1 cup (200g),315,14,21,21,Pork blood stew; whole grain option
Dinuguan (Fiesta Portion),Lunch/Dinner,1 cup (200g),420,11,28,28,Pork blood stew
Dinuguan (Budget Bowl),Lunch/Dinner,1 cup (200g),255,6,17,17,Pork blood stew
Pinangat (Bicol) (Small Serving),Lunch/Dinner,1 cup (200g),225,9,9,16,Taro leaves in coconut parcels
Pinangat (Bicol) (Large Serving),Lunch/Dinner,1 cup (200g),375,15,15,27,Taro leaves in coconut parcels
Pinangat (Bicol) (Spicy Variant),Lunch/Dinner,1 cup (200g),300,12,12,22,Taro leaves in coconut parcels; spicy
Pinangat (Bicol) (Low-Sodium),Lunch/Dinner,1 cup (200g),300,12,12,22,Taro leaves in coconut parcels; reduced salt
Pinangat (Bicol) (With Brown Rice),Lunch/Dinner,1 cup (200g),315,18,12,23,Taro leaves in coconut parcels; whole grain option
Pinangat (Bicol) (Fiesta Portion),Lunch/Dinner,1 cup (200g),420,16,16,30,Taro leaves in coconut parcels
Pinangat (Bicol) (Budget Bowl),Lunch/Dinner,1 cup (200g),255,10,10,18,Taro leaves in coconut parcels
Relyenong Bangus (Small Serving),Lunch/Dinner,1 slice (150g),270,7,19,16,Stuffed milkfish
Relyenong Bangus (Large Serving),Lunch/Dinner,1 slice (150g),450,12,32,27,Stuffed milkfish
Relyenong Bangus (Spicy Variant),Lunch/Dinner,1 slice (150g),360,10,26,22,Stuffed milkfish; spicy
Relyenong Bangus (Low-Sodium),Lunch/Dinner,1 slice (150g),360,10,26,22,Stuffed milkfish; reduced salt
Relyenong Bangus (With Brown Rice),Lunch/Dinner,1 slice (150g),378,16,27,23,Stuffed milkfish; whole grain option
Relyenong Bangus (Fiesta Portion),Lunch/Dinner,1 slice (150g),503,14,36,30,Stuffed milkfish
Relyenong Bangus (Budget Bowl),Lunch/Dinner,1 slice (150g),306,8,22,18,Stuffed milkfish
Embutido (Small Serving),Lunch/Dinner,1 slice (120g),210,12,10,12,Filipino meatloaf
Embutido (Large Serving),Lunch/Dinner,1 slice (120g),350,20,17,20,Filipino meatloaf
Embutido (Spicy Variant),Lunch/Dinner,1 slice (120g),280,16,14,16,Filipino meatloaf; spicy
Embutido (Low-Sodium),Lunch/Dinner,1 slice (120g),280,16,14,16,Filipino meatloaf; reduced salt
Embutido (With Brown Rice),Lunch/Dinner,1 slice (120g),294,22,14,16,Filipino meatloaf; whole grain option
Embutido (Fiesta Portion),Lunch/Dinner,1 slice (120g),392,22,19,22,Filipino meatloaf
Embutido (Budget Bowl),Lunch/Dinner,1 slice (120g),238,13,11,13,Filipino meatloaf
Lumpiang Shanghai (Small Serving),Snack/Lunch,4 pcs (120g),240,21,10,13,Fried pork spring rolls
Lumpiang Shanghai (Large Serving),Snack/Lunch,4 pcs (120g),400,35,17,22,Fried pork spring rolls
Lumpiang Shanghai (Spicy Variant),Snack/Lunch,4 pcs (120g),320,28,14,18,Fried pork spring rolls; spicy
Lumpiang Shanghai (Low-Sodium),Snack/Lunch,4 pcs (120g),320,28,14,18,Fried pork spring rolls; reduced salt
Lumpiang Shanghai (With Brown Rice),Snack/Lunch,4 pcs (120g),336,35,14,18,Fried pork spring rolls; whole grain option
Lumpiang Shanghai (Fiesta Portion),Snack/Lunch,4 pcs (120g),448,39,19,25,Fried pork spring rolls
Lumpiang Shanghai (Budget Bowl),Snack/Lunch,4 pcs (120g),272,23,11,15,Fried pork spring rolls
Lumpiang Gulay (Small Serving),Snack/Lunch,2 pcs (120g),195,22,4,7,Vegetable spring rolls
Lumpiang Gulay (Large Serving),Snack/Lunch,2 pcs (120g),325,37,7,12,Vegetable spring rolls
Lumpiang Gulay (Spicy Variant),Snack/Lunch,2 pcs (120g),260,30,6,10,Vegetable spring rolls; spicy
Lumpiang Gulay (Low-Sodium),Snack/Lunch,2 pcs (120g),260,30,6,10,Vegetable spring rolls; reduced salt
Lumpiang Gulay (With Brown Rice),Snack/Lunch,2 pcs (120g),273,37,6,10,Vegetable spring rolls; whole grain option
Lumpiang Gulay (Fiesta Portion),Snack/Lunch,2 pcs (120g),364,42,8,14,Vegetable spring rolls
Lumpiang Gulay (Budget Bowl),Snack/Lunch,2 pcs (120g),221,25,5,8,Vegetable spring rolls
Fresh Lumpia (Lumpiang Sariwa) (Small Serving),Snack/Lunch,1 roll (200g),210,27,6,7,With peanut sauce
Fresh Lumpia (Lumpiang Sariwa) (Large Serving),Snack/Lunch,1 roll (200g),350,45,10,12,With peanut sauce
Fresh Lumpia (Lumpiang Sariwa) (Spicy Variant),Snack/Lunch,1 roll (200g),280,36,8,10,With peanut sauce; spicy
Fresh Lumpia (Lumpiang Sariwa) (Low-Sodium),Snack/Lunch,1 roll (200g),280,36,8,10,With peanut sauce; reduced salt
Fresh Lumpia (Lumpiang Sariwa) (With Brown Rice),Snack/Lunch,1 roll (200g),294,43,8,10,With peanut sauce; whole grain option
Fresh Lumpia (Lumpiang Sariwa) (Fiesta Portion),Snack/Lunch,1 roll (200g),392,50,11,14,With peanut sauce
Fresh Lumpia (Lumpiang Sariwa) (Budget Bowl),Snack/Lunch,1 roll (200g),238,30,6,8,With peanut sauce
Ukoy (Shrimp Fritters) (Small Serving),Snack,2 pcs (120g),225,21,7,12,Crispy fritters
Ukoy (Shrimp Fritters) (Large Serving),Snack,2 pcs (120g),375,35,12,20,Crispy fritters
Ukoy (Shrimp Fritters) (Spicy Variant),Snack,2 pcs (120g),300,28,10,16,Crispy fritters; spicy
Ukoy (Shrimp Fritters) (Low-Sodium),Snack,2 pcs (120g),300,28,10,16,Crispy fritters; reduced salt
Ukoy (Shrimp Fritters) (With Brown Rice),Snack,2 pcs (120g),315,35,10,16,Crispy fritters; whole grain option
Ukoy (Shrimp Fritters) (Fiesta Portion),Snack,2 pcs (120g),420,39,14,22,Crispy fritters
Ukoy (Shrimp Fritters) (Budget Bowl),Snack,2 pcs (120g),255,23,8,13,Crispy fritters
Okoy Kalabasa (Small Serving),Snack,2 pcs (120g),210,22,6,10,Squash fritters
Okoy Kalabasa (Large Serving),Snack,2 pcs (120g),350,37,10,17,Squash fritters
Okoy Kalabasa (Spicy Variant),Snack,2 pcs (120g),280,30,8,14,Squash fritters; spicy
Okoy Kalabasa (Low-Sodium),Snack,2 pcs (120g),280,30,8,14,Squash fritters; reduced salt
Okoy Kalabasa (With Brown Rice),Snack,2 pcs (120g),294,37,8,14,Squash fritters; whole grain option
Okoy Kalabasa (Fiesta Portion),Snack,2 pcs (120g),392,42,11,19,Squash fritters
Okoy Kalabasa (Budget Bowl),Snack,2 pcs (120g),238,25,6,11,Squash fritters
Inihaw na Pusit (Small Serving),Lunch/Dinner,150g,165,4,21,6,Grilled squid
Inihaw na Pusit (Large Serving),Lunch/Dinner,150g,275,7,35,10,Grilled squid
Inihaw na Pusit (Spicy Variant),Lunch/Dinner,150g,220,6,28,8,Grilled squid; spicy
Inihaw na Pusit (Low-Sodium),Lunch/Dinner,150g,220,6,28,8,Grilled squid; reduced salt
Inihaw na Pusit (With Brown Rice),Lunch/Dinner,150g,231,12,29,8,Grilled squid; whole grain option
Inihaw na Pusit (Fiesta Portion),Lunch/Dinner,150g,308,8,39,11,Grilled squid
Inihaw na Pusit (Budget Bowl),Lunch/Dinner,150g,187,5,23,6,Grilled squid
Inihaw na Bangus (Small Serving),Lunch/Dinner,150g,195,0,22,10,Grilled milkfish
Inihaw na Bangus (Large Serving),Lunch/Dinner,150g,325,0,37,17,Grilled milkfish
Inihaw na Bangus (Spicy Variant),Lunch/Dinner,150g,260,0,30,14,Grilled milkfish; spicy
Inihaw na Bangus (Low-Sodium),Lunch/Dinner,150g,260,0,30,14,Grilled milkfish; reduced salt
Inihaw na Bangus (With Brown Rice),Lunch/Dinner,150g,273,6,31,14,Grilled milkfish; whole grain option
Inihaw na Bangus (Fiesta Portion),Lunch/Dinner,150g,364,0,42,19,Grilled milkfish
Inihaw na Bangus (Budget Bowl),Lunch/Dinner,150g,221,0,25,11,Grilled milkfish
Inihaw na Tilapia (Small Serving),Lunch/Dinner,150g,180,0,21,9,Grilled tilapia
Inihaw na Tilapia (Large Serving),Lunch/Dinner,150g,300,0,35,15,Grilled tilapia
Inihaw na Tilapia (Spicy Variant),Lunch/Dinner,150g,240,0,28,12,Grilled tilapia; spicy
Inihaw na Tilapia (Low-Sodium),Lunch/Dinner,150g,240,0,28,12,Grilled tilapia; reduced salt
Inihaw na Tilapia (With Brown Rice),Lunch/Dinner,150g,252,6,29,12,Grilled tilapia; whole grain option
Inihaw na Tilapia (Fiesta Portion),Lunch/Dinner,150g,336,0,39,16,Grilled tilapia
Inihaw na Tilapia (Budget Bowl),Lunch/Dinner,150g,204,0,23,10,Grilled tilapia
Kinilaw na Tanigue (Small Serving),Lunch/Dinner,150g,165,4,19,6,Filipino ceviche
Kinilaw na Tanigue (Large Serving),Lunch/Dinner,150g,275,7,32,10,Filipino ceviche
Kinilaw na Tanigue (Spicy Variant),Lunch/Dinner,150g,220,6,26,8,Filipino ceviche; spicy
Kinilaw na Tanigue (Low-Sodium),Lunch/Dinner,150g,220,6,26,8,Filipino ceviche; reduced salt
Kinilaw na Tanigue (With Brown Rice),Lunch/Dinner,150g,231,12,27,8,Filipino ceviche; whole grain option
Kinilaw na Tanigue (Fiesta Portion),Lunch/Dinner,150g,308,8,36,11,Filipino ceviche
Kinilaw na Tanigue (Budget Bowl),Lunch/Dinner,150g,187,5,22,6,Filipino ceviche
Kilawing Puso ng Saging (Small Serving),Lunch/Dinner,1 cup (200g),180,12,6,10,Banana blossom salad in vinegar
Kilawing Puso ng Saging (Large Serving),Lunch/Dinner,1 cup (200g),300,20,10,17,Banana blossom salad in vinegar
Kilawing Puso ng Saging (Spicy Variant),Lunch/Dinner,1 cup (200g),240,16,8,14,Banana blossom salad in vinegar; spicy
Kilawing Puso ng Saging (Low-Sodium),Lunch/Dinner,1 cup (200g),240,16,8,14,Banana blossom salad in vinegar; reduced salt
Kilawing Puso ng Saging (With Brown Rice),Lunch/Dinner,1 cup (200g),252,22,8,14,Banana blossom salad in vinegar; whole grain option
Kilawing Puso ng Saging (Fiesta Portion),Lunch/Dinner,1 cup (200g),336,22,11,19,Banana blossom salad in vinegar
Kilawing Puso ng Saging (Budget Bowl),Lunch/Dinner,1 cup (200g),204,13,6,11,Banana blossom salad in vinegar
Ginisang Munggo (Small Serving),Lunch/Dinner,1 cup (200g),195,27,12,4,Mung bean stew
Ginisang Munggo (Large Serving),Lunch/Dinner,1 cup (200g),325,45,20,7,Mung bean stew
Ginisang Munggo (Spicy Variant),Lunch/Dinner,1 cup (200g),260,36,16,6,Mung bean stew; spicy
Ginisang Munggo (Low-Sodium),Lunch/Dinner,1 cup (200g),260,36,16,6,Mung bean stew; reduced salt
Ginisang Munggo (With Brown Rice),Lunch/Dinner,1 cup (200g),273,43,16,6,Mung bean stew; whole grain option
Ginisang Munggo (Fiesta Portion),Lunch/Dinner,1 cup (200g),364,50,22,8,Mung bean stew
Ginisang Munggo (Budget Bowl),Lunch/Dinner,1 cup (200g),221,30,13,5,Mung bean stew
Munggo with Chicharon (Small Serving),Lunch/Dinner,1 cup (220g),240,27,13,7,With pork cracklings
Munggo with Chicharon (Large Serving),Lunch/Dinner,1 cup (220g),400,45,22,12,With pork cracklings
Munggo with Chicharon (Spicy Variant),Lunch/Dinner,1 cup (220g),320,36,18,10,With pork cracklings; spicy
Munggo with Chicharon (Low-Sodium),Lunch/Dinner,1 cup (220g),320,36,18,10,With pork cracklings; reduced salt
Munggo with Chicharon (With Brown Rice),Lunch/Dinner,1 cup (220g),336,43,18,10,With pork cracklings; whole grain option
Munggo with Chicharon (Fiesta Portion),Lunch/Dinner,1 cup (220g),448,50,25,14,With pork cracklings
Munggo with Chicharon (Budget Bowl),Lunch/Dinner,1 cup (220g),272,30,15,8,With pork cracklings
Ginisang Ampalaya (Small Serving),Lunch/Dinner,1 cup (200g),135,10,7,6,Bitter gourd with egg
Ginisang Ampalaya (Large Serving),Lunch/Dinner,1 cup (200g),225,17,12,10,Bitter gourd with egg
Ginisang Ampalaya (Spicy Variant),Lunch/Dinner,1 cup (200g),180,14,10,8,Bitter gourd with egg; spicy
Ginisang Ampalaya (Low-Sodium),Lunch/Dinner,1 cup (200g),180,14,10,8,Bitter gourd with egg; reduced salt
Ginisang Ampalaya (With Brown Rice),Lunch/Dinner,1 cup (200g),189,20,10,8,Bitter gourd with egg; whole grain option
Ginisang Ampalaya (Fiesta Portion),Lunch/Dinner,1 cup (200g),251,19,14,11,Bitter gourd with egg
Ginisang Ampalaya (Budget Bowl),Lunch/Dinner,1 cup (200g),153,11,8,6,Bitter gourd with egg
Chopsuey (Small Serving),Lunch/Dinner,1 cup (200g),165,16,7,6,Stir-fried mixed vegetables
Chopsuey (Large Serving),Lunch/Dinner,1 cup (200g),275,27,12,10,Stir-fried mixed vegetables
Chopsuey (Spicy Variant),Lunch/Dinner,1 cup (200g),220,22,10,8,Stir-fried mixed vegetables; spicy
Chopsuey (Low-Sodium),Lunch/Dinner,1 cup (200g),220,22,10,8,Stir-fried mixed vegetables; reduced salt
Chopsuey (With Brown Rice),Lunch/Dinner,1 cup (200g),231,29,10,8,Stir-fried mixed vegetables; whole grain option
Chopsuey (Fiesta Portion),Lunch/Dinner,1 cup (200g),308,30,14,11,Stir-fried mixed vegetables
