"Dish Name",Category,"Serving Size","Calories (kcal)","Carbs (g)","Protein (g)","Fat (g)",Notes,Ingredients
"Igado (Ilocos) (Large Serving)",Lunch/Dinner,"1 cup (200g)",425,12,30,27,"Pork & liver stew","Pork, Pork liver, Bell peppers, Carrots, Onion, Garlic, Soy sauce, Vinegar, Bay leaves, Black peppercorns, Cooking oil, Salt, Black pepper"
"Igado (Ilocos) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",340,10,24,22,"Pork & liver stew; spicy","Pork, Pork liver, Bell peppers, Carrots, Onion, Garlic, Soy sauce, Vinegar, Bay leaves, Black peppercorns, Cooking oil, Salt, Black pepper"
"Igado (Ilocos) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",340,10,24,22,"Pork & liver stew; reduced salt","Pork, Pork liver, Bell peppers, Carrots, Onion, Garlic, Soy sauce, Vinegar, Bay leaves, Black peppercorns, Cooking oil, Salt, Black pepper"
"Igado (Ilocos) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",357,16,25,23,"Pork & liver stew; whole grain option","Pork, Pork liver, Bell peppers, Carrots, Onion, Garlic, Soy sauce, Vinegar, Bay leaves, Black peppercorns, Cooking oil, Salt, Black pepper"
"Igado (Ilocos) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",475,14,33,30,"Pork & liver stew","Pork, Pork liver, Bell peppers, Carrots, Onion, Garlic, Soy sauce, Vinegar, Bay leaves, Black peppercorns, Cooking oil, Salt, Black pepper"
"Igado (Ilocos) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",289,8,20,18,"Pork & liver stew","Pork, Pork liver, Bell peppers, Carrots, Onion, Garlic, Soy sauce, Vinegar, Bay leaves, Black peppercorns, Cooking oil, Salt, Black pepper"
"Papaitan (Ilocos) (Small Serving)",Lunch/Dinner,"1 bowl (250g)",195,4,18,10,"Bitter beef innards soup","Beef innards (tripe, liver, heart), Bile, Ginger, Onion, Garlic, Green chili, Vinegar, Water, Salt, Black pepper"
"Papaitan (Ilocos) (Large Serving)",Lunch/Dinner,"1 bowl (250g)",325,7,30,17,"Bitter beef innards soup","Beef innards (tripe, liver, heart), Bile, Ginger, Onion, Garlic, Green chili, Vinegar, Water, Salt, Black pepper"
"Papaitan (Ilocos) (Spicy Variant)",Lunch/Dinner,"1 bowl (250g)",260,6,24,14,"Bitter beef innards soup; spicy","Beef innards (tripe, liver, heart), Bile, Ginger, Onion, Garlic, Green chili, Vinegar, Water, Salt, Black pepper"
"Papaitan (Ilocos) (Low-Sodium)",Lunch/Dinner,"1 bowl (250g)",260,6,24,14,"Bitter beef innards soup; reduced salt","Beef innards (tripe, liver, heart), Bile, Ginger, Onion, Garlic, Green chili, Vinegar, Water, Salt, Black pepper"
"Papaitan (Ilocos) (With Brown Rice)",Lunch/Dinner,"1 bowl (250g)",273,12,25,14,"Bitter beef innards soup; whole grain option","Beef innards (tripe, liver, heart), Bile, Ginger, Onion, Garlic, Green chili, Vinegar, Water, Salt, Black pepper"
"Papaitan (Ilocos) (Fiesta Portion)",Lunch/Dinner,"1 bowl (250g)",364,8,33,19,"Bitter beef innards soup","Beef innards (tripe, liver, heart), Bile, Ginger, Onion, Garlic, Green chili, Vinegar, Water, Salt, Black pepper"
"Papaitan (Ilocos) (Budget Bowl)",Lunch/Dinner,"1 bowl (250g)",221,5,20,11,"Bitter beef innards soup","Beef innards (tripe, liver, heart), Bile, Ginger, Onion, Garlic, Green chili, Vinegar, Water, Salt, Black pepper"
"Bagnet (Ilocos) (Small Serving)",Lunch/Dinner,120g,390,2,16,30,"Crispy deep-fried pork","Pork belly, Salt, Black pepper, Garlic, Bay leaves, Water, Cooking oil"
"Bagnet (Ilocos) (Large Serving)",Lunch/Dinner,120g,650,3,27,50,"Crispy deep-fried pork","Pork belly, Salt, Black pepper, Garlic, Bay leaves, Water, Cooking oil"
"Bagnet (Ilocos) (Spicy Variant)",Lunch/Dinner,120g,520,3,22,40,"Crispy deep-fried pork; spicy","Pork belly, Salt, Black pepper, Garlic, Bay leaves, Water, Cooking oil"
"Bagnet (Ilocos) (Low-Sodium)",Lunch/Dinner,120g,520,3,22,40,"Crispy deep-fried pork; reduced salt","Pork belly, Salt, Black pepper, Garlic, Bay leaves, Water, Cooking oil"
"Bagnet (Ilocos) (With Brown Rice)",Lunch/Dinner,120g,546,9,23,42,"Crispy deep-fried pork; whole grain option","Pork belly, Salt, Black pepper, Garlic, Bay leaves, Water, Cooking oil"
"Bagnet (Ilocos) (Fiesta Portion)",Lunch/Dinner,120g,728,4,30,56,"Crispy deep-fried pork","Pork belly, Salt, Black pepper, Garlic, Bay leaves, Water, Cooking oil"
"Bagnet (Ilocos) (Budget Bowl)",Lunch/Dinner,120g,442,2,18,34,"Crispy deep-fried pork","Pork belly, Salt, Black pepper, Garlic, Bay leaves, Water, Cooking oil"
"Dinuguan (Small Serving)",Lunch/Dinner,"1 cup (200g)",225,6,15,15,"Pork blood stew","Pork, Pork blood, Vinegar, Onion, Garlic, Green chili, Bay leaves, Sugar, Salt, Black pepper, Cooking oil"
"Dinuguan (Large Serving)",Lunch/Dinner,"1 cup (200g)",375,10,25,25,"Pork blood stew","Pork, Pork blood, Vinegar, Onion, Garlic, Green chili, Bay leaves, Sugar, Salt, Black pepper, Cooking oil"
"Dinuguan (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",300,8,20,20,"Pork blood stew; spicy","Pork, Pork blood, Vinegar, Onion, Garlic, Green chili, Bay leaves, Sugar, Salt, Black pepper, Cooking oil"
"Dinuguan (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",300,8,20,20,"Pork blood stew; reduced salt","Pork, Pork blood, Vinegar, Onion, Garlic, Green chili, Bay leaves, Sugar, Salt, Black pepper, Cooking oil"
"Dinuguan (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",315,14,21,21,"Pork blood stew; whole grain option","Pork, Pork blood, Vinegar, Onion, Garlic, Green chili, Bay leaves, Sugar, Salt, Black pepper, Cooking oil"
"Dinuguan (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",420,11,28,28,"Pork blood stew","Pork, Pork blood, Vinegar, Onion, Garlic, Green chili, Bay leaves, Sugar, Salt, Black pepper, Cooking oil"
"Dinuguan (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",255,6,17,17,"Pork blood stew","Pork, Pork blood, Vinegar, Onion, Garlic, Green chili, Bay leaves, Sugar, Salt, Black pepper, Cooking oil"
"Pinangat (Bicol) (Small Serving)",Lunch/Dinner,"1 cup (200g)",225,9,9,16,"Taro leaves in coconut parcels","Taro leaves, Coconut milk, Fish or shrimp, Onion, Garlic, Ginger, Green chili, Shrimp paste, Cooking oil, Salt"
"Pinangat (Bicol) (Large Serving)",Lunch/Dinner,"1 cup (200g)",375,15,15,27,"Taro leaves in coconut parcels","Taro leaves, Coconut milk, Fish or shrimp, Onion, Garlic, Ginger, Green chili, Shrimp paste, Cooking oil, Salt"
"Pinangat (Bicol) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",300,12,12,22,"Taro leaves in coconut parcels; spicy","Taro leaves, Coconut milk, Fish or shrimp, Onion, Garlic, Ginger, Green chili, Shrimp paste, Cooking oil, Salt"
"Pinangat (Bicol) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",300,12,12,22,"Taro leaves in coconut parcels; reduced salt","Taro leaves, Coconut milk, Fish or shrimp, Onion, Garlic, Ginger, Green chili, Shrimp paste, Cooking oil, Salt"
"Pinangat (Bicol) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",315,18,12,23,"Taro leaves in coconut parcels; whole grain option","Taro leaves, Coconut milk, Fish or shrimp, Onion, Garlic, Ginger, Green chili, Shrimp paste, Cooking oil, Salt"
"Pinangat (Bicol) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",420,16,16,30,"Taro leaves in coconut parcels","Taro leaves, Coconut milk, Fish or shrimp, Onion, Garlic, Ginger, Green chili, Shrimp paste, Cooking oil, Salt"
"Pinangat (Bicol) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",255,10,10,18,"Taro leaves in coconut parcels","Taro leaves, Coconut milk, Fish or shrimp, Onion, Garlic, Ginger, Green chili, Shrimp paste, Cooking oil, Salt"
"Relyenong Bangus (Small Serving)",Lunch/Dinner,"1 slice (150g)",270,7,19,16,"Stuffed milkfish","Bangus (milkfish), Ground pork, Onion, Garlic, Carrots, Raisins, Eggs, Salt, Black pepper, Cooking oil"
"Relyenong Bangus (Large Serving)",Lunch/Dinner,"1 slice (150g)",450,12,32,27,"Stuffed milkfish","Bangus (milkfish), Ground pork, Onion, Garlic, Carrots, Raisins, Eggs, Salt, Black pepper, Cooking oil"
"Relyenong Bangus (Spicy Variant)",Lunch/Dinner,"1 slice (150g)",360,10,26,22,"Stuffed milkfish; spicy","Bangus (milkfish), Ground pork, Onion, Garlic, Carrots, Raisins, Eggs, Salt, Black pepper, Cooking oil"
"Relyenong Bangus (Low-Sodium)",Lunch/Dinner,"1 slice (150g)",360,10,26,22,"Stuffed milkfish; reduced salt","Bangus (milkfish), Ground pork, Onion, Garlic, Carrots, Raisins, Eggs, Salt, Black pepper, Cooking oil"
"Relyenong Bangus (With Brown Rice)",Lunch/Dinner,"1 slice (150g)",378,16,27,23,"Stuffed milkfish; whole grain option","Bangus (milkfish), Ground pork, Onion, Garlic, Carrots, Raisins, Eggs, Salt, Black pepper, Cooking oil"
"Relyenong Bangus (Fiesta Portion)",Lunch/Dinner,"1 slice (150g)",503,14,36,30,"Stuffed milkfish","Bangus (milkfish), Ground pork, Onion, Garlic, Carrots, Raisins, Eggs, Salt, Black pepper, Cooking oil"
"Relyenong Bangus (Budget Bowl)",Lunch/Dinner,"1 slice (150g)",306,8,22,18,"Stuffed milkfish","Bangus (milkfish), Ground pork, Onion, Garlic, Carrots, Raisins, Eggs, Salt, Black pepper, Cooking oil"
"Embutido (Small Serving)",Lunch/Dinner,"1 slice (120g)",210,12,10,12,"Filipino meatloaf","Ground pork, Carrots, Raisins, Pickles, Onion, Garlic, Eggs, Breadcrumbs, Salt, Black pepper, Cooking oil"
"Embutido (Large Serving)",Lunch/Dinner,"1 slice (120g)",350,20,17,20,"Filipino meatloaf","Ground pork, Carrots, Raisins, Pickles, Onion, Garlic, Eggs, Breadcrumbs, Salt, Black pepper, Cooking oil"
"Embutido (Spicy Variant)",Lunch/Dinner,"1 slice (120g)",280,16,14,16,"Filipino meatloaf; spicy","Ground pork, Carrots, Raisins, Pickles, Onion, Garlic, Eggs, Breadcrumbs, Salt, Black pepper, Cooking oil"
"Embutido (Low-Sodium)",Lunch/Dinner,"1 slice (120g)",280,16,14,16,"Filipino meatloaf; reduced salt","Ground pork, Carrots, Raisins, Pickles, Onion, Garlic, Eggs, Breadcrumbs, Salt, Black pepper, Cooking oil"
"Embutido (With Brown Rice)",Lunch/Dinner,"1 slice (120g)",294,22,14,16,"Filipino meatloaf; whole grain option","Ground pork, Carrots, Raisins, Pickles, Onion, Garlic, Eggs, Breadcrumbs, Salt, Black pepper, Cooking oil"
"Embutido (Fiesta Portion)",Lunch/Dinner,"1 slice (120g)",392,22,19,22,"Filipino meatloaf","Ground pork, Carrots, Raisins, Pickles, Onion, Garlic, Eggs, Breadcrumbs, Salt, Black pepper, Cooking oil"
"Embutido (Budget Bowl)",Lunch/Dinner,"1 slice (120g)",238,13,11,13,"Filipino meatloaf","Ground pork, Carrots, Raisins, Pickles, Onion, Garlic, Eggs, Breadcrumbs, Salt, Black pepper, Cooking oil"
"Lumpiang Shanghai (Small Serving)",Snack/Lunch,"4 pcs (120g)",240,21,10,13,"Fried pork spring rolls","Ground pork, Carrots, Onion, Garlic, Spring onion, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Shanghai (Large Serving)",Snack/Lunch,"4 pcs (120g)",400,35,17,22,"Fried pork spring rolls","Ground pork, Carrots, Onion, Garlic, Spring onion, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Shanghai (Spicy Variant)",Snack/Lunch,"4 pcs (120g)",320,28,14,18,"Fried pork spring rolls; spicy","Ground pork, Carrots, Onion, Garlic, Spring onion, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Shanghai (Low-Sodium)",Snack/Lunch,"4 pcs (120g)",320,28,14,18,"Fried pork spring rolls; reduced salt","Ground pork, Carrots, Onion, Garlic, Spring onion, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Shanghai (With Brown Rice)",Snack/Lunch,"4 pcs (120g)",336,35,14,18,"Fried pork spring rolls; whole grain option","Ground pork, Carrots, Onion, Garlic, Spring onion, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Shanghai (Fiesta Portion)",Snack/Lunch,"4 pcs (120g)",448,39,19,25,"Fried pork spring rolls","Ground pork, Carrots, Onion, Garlic, Spring onion, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Shanghai (Budget Bowl)",Snack/Lunch,"4 pcs (120g)",272,23,11,15,"Fried pork spring rolls","Ground pork, Carrots, Onion, Garlic, Spring onion, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Gulay (Small Serving)",Snack/Lunch,"2 pcs (120g)",195,22,4,7,"Vegetable spring rolls","Cabbage, Carrots, String beans, Green beans, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Gulay (Large Serving)",Snack/Lunch,"2 pcs (120g)",325,37,7,12,"Vegetable spring rolls","Cabbage, Carrots, String beans, Green beans, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Gulay (Spicy Variant)",Snack/Lunch,"2 pcs (120g)",260,30,6,10,"Vegetable spring rolls; spicy","Cabbage, Carrots, String beans, Green beans, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Gulay (Low-Sodium)",Snack/Lunch,"2 pcs (120g)",260,30,6,10,"Vegetable spring rolls; reduced salt","Cabbage, Carrots, String beans, Green beans, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Gulay (With Brown Rice)",Snack/Lunch,"2 pcs (120g)",273,37,6,10,"Vegetable spring rolls; whole grain option","Cabbage, Carrots, String beans, Green beans, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Gulay (Fiesta Portion)",Snack/Lunch,"2 pcs (120g)",364,42,8,14,"Vegetable spring rolls","Cabbage, Carrots, String beans, Green beans, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Gulay (Budget Bowl)",Snack/Lunch,"2 pcs (120g)",221,25,5,8,"Vegetable spring rolls","Cabbage, Carrots, String beans, Green beans, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Fresh Lumpia (Lumpiang Sariwa) (Small Serving)",Snack/Lunch,"1 roll (200g)",210,27,6,7,"With peanut sauce","Cabbage, Carrots, String beans, Jicama, Shrimp, Pork, Onion, Garlic, Lumpia wrapper, Peanut sauce, Lettuce"
"Fresh Lumpia (Lumpiang Sariwa) (Large Serving)",Snack/Lunch,"1 roll (200g)",350,45,10,12,"With peanut sauce","Cabbage, Carrots, String beans, Jicama, Shrimp, Pork, Onion, Garlic, Lumpia wrapper, Peanut sauce, Lettuce"
"Fresh Lumpia (Lumpiang Sariwa) (Spicy Variant)",Snack/Lunch,"1 roll (200g)",280,36,8,10,"With peanut sauce; spicy","Cabbage, Carrots, String beans, Jicama, Shrimp, Pork, Onion, Garlic, Lumpia wrapper, Peanut sauce, Lettuce"
"Fresh Lumpia (Lumpiang Sariwa) (Low-Sodium)",Snack/Lunch,"1 roll (200g)",280,36,8,10,"With peanut sauce; reduced salt","Cabbage, Carrots, String beans, Jicama, Shrimp, Pork, Onion, Garlic, Lumpia wrapper, Peanut sauce, Lettuce"
"Fresh Lumpia (Lumpiang Sariwa) (With Brown Rice)",Snack/Lunch,"1 roll (200g)",294,43,8,10,"With peanut sauce; whole grain option","Cabbage, Carrots, String beans, Jicama, Shrimp, Pork, Onion, Garlic, Lumpia wrapper, Peanut sauce, Lettuce"
"Fresh Lumpia (Lumpiang Sariwa) (Fiesta Portion)",Snack/Lunch,"1 roll (200g)",392,50,11,14,"With peanut sauce","Cabbage, Carrots, String beans, Jicama, Shrimp, Pork, Onion, Garlic, Lumpia wrapper, Peanut sauce, Lettuce"
"Fresh Lumpia (Lumpiang Sariwa) (Budget Bowl)",Snack/Lunch,"1 roll (200g)",238,30,6,8,"With peanut sauce","Cabbage, Carrots, String beans, Jicama, Shrimp, Pork, Onion, Garlic, Lumpia wrapper, Peanut sauce, Lettuce"
"Ukoy (Shrimp Fritters) (Small Serving)",Snack,"2 pcs (120g)",225,21,7,12,"Crispy fritters","Shrimp, Sweet potato, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Ukoy (Shrimp Fritters) (Large Serving)",Snack,"2 pcs (120g)",375,35,12,20,"Crispy fritters","Shrimp, Sweet potato, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Ukoy (Shrimp Fritters) (Spicy Variant)",Snack,"2 pcs (120g)",300,28,10,16,"Crispy fritters; spicy","Shrimp, Sweet potato, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Ukoy (Shrimp Fritters) (Low-Sodium)",Snack,"2 pcs (120g)",300,28,10,16,"Crispy fritters; reduced salt","Shrimp, Sweet potato, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Ukoy (Shrimp Fritters) (With Brown Rice)",Snack,"2 pcs (120g)",315,35,10,16,"Crispy fritters; whole grain option","Shrimp, Sweet potato, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Ukoy (Shrimp Fritters) (Fiesta Portion)",Snack,"2 pcs (120g)",420,39,14,22,"Crispy fritters","Shrimp, Sweet potato, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Ukoy (Shrimp Fritters) (Budget Bowl)",Snack,"2 pcs (120g)",255,23,8,13,"Crispy fritters","Shrimp, Sweet potato, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Okoy Kalabasa (Small Serving)",Snack,"2 pcs (120g)",210,22,6,10,"Squash fritters","Squash, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Okoy Kalabasa (Large Serving)",Snack,"2 pcs (120g)",350,37,10,17,"Squash fritters","Squash, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Okoy Kalabasa (Spicy Variant)",Snack,"2 pcs (120g)",280,30,8,14,"Squash fritters; spicy","Squash, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Okoy Kalabasa (Low-Sodium)",Snack,"2 pcs (120g)",280,30,8,14,"Squash fritters; reduced salt","Squash, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Okoy Kalabasa (With Brown Rice)",Snack,"2 pcs (120g)",294,37,8,14,"Squash fritters; whole grain option","Squash, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Okoy Kalabasa (Fiesta Portion)",Snack,"2 pcs (120g)",392,42,11,19,"Squash fritters","Squash, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Okoy Kalabasa (Budget Bowl)",Snack,"2 pcs (120g)",238,25,6,11,"Squash fritters","Squash, All-purpose flour, Cornstarch, Onion, Garlic, Salt, Black pepper, Cooking oil"
"Inihaw na Pusit (Small Serving)",Lunch/Dinner,150g,165,4,21,6,"Grilled squid","Squid, Salt, Black pepper, Garlic, Calamansi, Soy sauce, Cooking oil"
"Inihaw na Pusit (Large Serving)",Lunch/Dinner,150g,275,7,35,10,"Grilled squid","Squid, Salt, Black pepper, Garlic, Calamansi, Soy sauce, Cooking oil"
"Inihaw na Pusit (Spicy Variant)",Lunch/Dinner,150g,220,6,28,8,"Grilled squid; spicy","Squid, Salt, Black pepper, Garlic, Calamansi, Soy sauce, Cooking oil"
"Inihaw na Pusit (Low-Sodium)",Lunch/Dinner,150g,220,6,28,8,"Grilled squid; reduced salt","Squid, Salt, Black pepper, Garlic, Calamansi, Soy sauce, Cooking oil"
"Inihaw na Pusit (With Brown Rice)",Lunch/Dinner,150g,231,12,29,8,"Grilled squid; whole grain option","Squid, Salt, Black pepper, Garlic, Calamansi, Soy sauce, Cooking oil"
"Inihaw na Pusit (Fiesta Portion)",Lunch/Dinner,150g,308,8,39,11,"Grilled squid","Squid, Salt, Black pepper, Garlic, Calamansi, Soy sauce, Cooking oil"
"Inihaw na Pusit (Budget Bowl)",Lunch/Dinner,150g,187,5,23,6,"Grilled squid","Squid, Salt, Black pepper, Garlic, Calamansi, Soy sauce, Cooking oil"
"Inihaw na Bangus (Small Serving)",Lunch/Dinner,150g,195,0,22,10,"Grilled milkfish","Bangus (milkfish), Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Bangus (Large Serving)",Lunch/Dinner,150g,325,0,37,17,"Grilled milkfish","Bangus (milkfish), Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Bangus (Spicy Variant)",Lunch/Dinner,150g,260,0,30,14,"Grilled milkfish; spicy","Bangus (milkfish), Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Bangus (Low-Sodium)",Lunch/Dinner,150g,260,0,30,14,"Grilled milkfish; reduced salt","Bangus (milkfish), Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Bangus (With Brown Rice)",Lunch/Dinner,150g,273,6,31,14,"Grilled milkfish; whole grain option","Bangus (milkfish), Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Bangus (Fiesta Portion)",Lunch/Dinner,150g,364,0,42,19,"Grilled milkfish","Bangus (milkfish), Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Bangus (Budget Bowl)",Lunch/Dinner,150g,221,0,25,11,"Grilled milkfish","Bangus (milkfish), Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Tilapia (Small Serving)",Lunch/Dinner,150g,180,0,21,9,"Grilled tilapia","Tilapia, Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Tilapia (Large Serving)",Lunch/Dinner,150g,300,0,35,15,"Grilled tilapia","Tilapia, Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Tilapia (Spicy Variant)",Lunch/Dinner,150g,240,0,28,12,"Grilled tilapia; spicy","Tilapia, Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Tilapia (Low-Sodium)",Lunch/Dinner,150g,240,0,28,12,"Grilled tilapia; reduced salt","Tilapia, Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Tilapia (With Brown Rice)",Lunch/Dinner,150g,252,6,29,12,"Grilled tilapia; whole grain option","Tilapia, Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Tilapia (Fiesta Portion)",Lunch/Dinner,150g,336,0,39,16,"Grilled tilapia","Tilapia, Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Inihaw na Tilapia (Budget Bowl)",Lunch/Dinner,150g,204,0,23,10,"Grilled tilapia","Tilapia, Salt, Black pepper, Garlic, Calamansi, Cooking oil"
"Kinilaw na Tanigue (Small Serving)",Lunch/Dinner,150g,165,4,19,6,"Filipino ceviche","Tanigue (Spanish mackerel), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kinilaw na Tanigue (Large Serving)",Lunch/Dinner,150g,275,7,32,10,"Filipino ceviche","Tanigue (Spanish mackerel), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kinilaw na Tanigue (Spicy Variant)",Lunch/Dinner,150g,220,6,26,8,"Filipino ceviche; spicy","Tanigue (Spanish mackerel), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kinilaw na Tanigue (Low-Sodium)",Lunch/Dinner,150g,220,6,26,8,"Filipino ceviche; reduced salt","Tanigue (Spanish mackerel), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kinilaw na Tanigue (With Brown Rice)",Lunch/Dinner,150g,231,12,27,8,"Filipino ceviche; whole grain option","Tanigue (Spanish mackerel), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kinilaw na Tanigue (Fiesta Portion)",Lunch/Dinner,150g,308,8,36,11,"Filipino ceviche","Tanigue (Spanish mackerel), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kinilaw na Tanigue (Budget Bowl)",Lunch/Dinner,150g,187,5,22,6,"Filipino ceviche","Tanigue (Spanish mackerel), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kilawing Puso ng Saging (Small Serving)",Lunch/Dinner,"1 cup (200g)",180,12,6,10,"Banana blossom salad in vinegar","Banana heart, Vinegar, Onion, Ginger, Chili, Salt, Black pepper"
"Kilawing Puso ng Saging (Large Serving)",Lunch/Dinner,"1 cup (200g)",300,20,10,17,"Banana blossom salad in vinegar","Banana heart, Vinegar, Onion, Ginger, Chili, Salt, Black pepper"
"Kilawing Puso ng Saging (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",240,16,8,14,"Banana blossom salad in vinegar; spicy","Banana heart, Vinegar, Onion, Ginger, Chili, Salt, Black pepper"
"Kilawing Puso ng Saging (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",240,16,8,14,"Banana blossom salad in vinegar; reduced salt","Banana heart, Vinegar, Onion, Ginger, Chili, Salt, Black pepper"
"Kilawing Puso ng Saging (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",252,22,8,14,"Banana blossom salad in vinegar; whole grain option","Banana heart, Vinegar, Onion, Ginger, Chili, Salt, Black pepper"
"Kilawing Puso ng Saging (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",336,22,11,19,"Banana blossom salad in vinegar","Banana heart, Vinegar, Onion, Ginger, Chili, Salt, Black pepper"
"Kilawing Puso ng Saging (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",204,13,6,11,"Banana blossom salad in vinegar","Banana heart, Vinegar, Onion, Ginger, Chili, Salt, Black pepper"
"Ginisang Munggo (Small Serving)",Lunch/Dinner,"1 cup (200g)",195,27,12,4,"Mung bean stew","Mung beans, Pork or shrimp, Onion, Garlic, Tomatoes, Spinach or malunggay, Fish sauce, Cooking oil, Water, Salt, Black pepper"
"Ginisang Munggo (Large Serving)",Lunch/Dinner,"1 cup (200g)",325,45,20,7,"Mung bean stew","Mung beans, Pork or shrimp, Onion, Garlic, Tomatoes, Spinach or malunggay, Fish sauce, Cooking oil, Water, Salt, Black pepper"
"Ginisang Munggo (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",260,36,16,6,"Mung bean stew; spicy","Mung beans, Pork or shrimp, Onion, Garlic, Tomatoes, Spinach or malunggay, Fish sauce, Cooking oil, Water, Salt, Black pepper"
"Ginisang Munggo (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",260,36,16,6,"Mung bean stew; reduced salt","Mung beans, Pork or shrimp, Onion, Garlic, Tomatoes, Spinach or malunggay, Fish sauce, Cooking oil, Water, Salt, Black pepper"
"Ginisang Munggo (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",273,43,16,6,"Mung bean stew; whole grain option","Mung beans, Pork or shrimp, Onion, Garlic, Tomatoes, Spinach or malunggay, Fish sauce, Cooking oil, Water, Salt, Black pepper"
