"Dish Name",Category,"Serving Size","Calories (kcal)","Carbs (g)","Protein (g)","Fat (g)",Notes,Ingredients
"Adobo sa Gata (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",532,11,36,36,"Adobo with coconut milk","Coconut, Coconut milk, Garlic, Soy sauce, Vinegar"
"Adobo sa Gata (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",323,6,22,22,"Adobo with coconut milk","Coconut, Coconut milk, Garlic, Soy sauce, Vinegar"
"Adobong Puti (Small Serving)",Lunch/Dinner,"1 cup (200g)",225,3,20,13,"Adobo without soy sauce","Garlic, Soy sauce, Vinegar"
"Adobong Puti (Large Serving)",Lunch/Dinner,"1 cup (200g)",375,5,33,22,"Adobo without soy sauce","Garlic, Soy sauce, Vinegar"
"Adobong Puti (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",300,4,27,18,"Adobo without soy sauce; spicy","Garlic, Soy sauce, Vinegar"
"Adobong Puti (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",300,4,27,18,"Adobo without soy sauce; reduced salt","Garlic, Soy sauce, Vinegar"
"Adobong Puti (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",315,10,28,18,"Adobo without soy sauce; whole grain option","Garlic, Rice, Soy sauce, Vinegar"
"Adobong Puti (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",420,5,37,25,"Adobo without soy sauce","Garlic, Soy sauce, Vinegar"
"Adobong Puti (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",255,3,22,15,"Adobo without soy sauce","Garlic, Soy sauce, Vinegar"
"Paksiw na Lechon (Small Serving)",Lunch/Dinner,"1 cup (200g)",315,7,18,22,"Lechon in vinegar sauce","Rice, Vegetables"
"Paksiw na Lechon (Large Serving)",Lunch/Dinner,"1 cup (200g)",525,12,30,37,"Lechon in vinegar sauce","Rice, Vegetables"
"Paksiw na Lechon (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",420,10,24,30,"Lechon in vinegar sauce; spicy","Rice, Vegetables"
"Paksiw na Lechon (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",420,10,24,30,"Lechon in vinegar sauce; reduced salt","Rice, Vegetables"
"Paksiw na Lechon (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",441,16,25,31,"Lechon in vinegar sauce; whole grain option",Rice
"Paksiw na Lechon (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",588,14,33,42,"Lechon in vinegar sauce","Rice, Vegetables"
"Paksiw na Lechon (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",357,8,20,25,"Lechon in vinegar sauce","Rice, Vegetables"
"Paksiw na Isda (Small Serving)",Lunch/Dinner,"1 cup (200g)",165,3,18,9,"Fish stewed in vinegar",Fish
"Paksiw na Isda (Large Serving)",Lunch/Dinner,"1 cup (200g)",275,5,30,15,"Fish stewed in vinegar",Fish
"Paksiw na Isda (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",220,4,24,12,"Fish stewed in vinegar; spicy",Fish
"Paksiw na Isda (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",220,4,24,12,"Fish stewed in vinegar; reduced salt",Fish
"Paksiw na Isda (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",231,10,25,12,"Fish stewed in vinegar; whole grain option","Fish, Rice"
"Paksiw na Isda (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",308,5,33,16,"Fish stewed in vinegar",Fish
"Paksiw na Isda (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",187,3,20,10,"Fish stewed in vinegar",Fish
"Kare-Kare (Small Serving)",Lunch/Dinner,"1 cup stew + 1 cup rice",525,48,22,26,"Peanut stew, bagoong on side","Bagoong, Peanut"
"Kare-Kare (Large Serving)",Lunch/Dinner,"1 cup stew + 1 cup rice",875,81,37,43,"Peanut stew, bagoong on side","Bagoong, Peanut"
"Kare-Kare (Spicy Variant)",Lunch/Dinner,"1 cup stew + 1 cup rice",700,65,30,35,"Peanut stew, bagoong on side; spicy","Bagoong, Peanut"
"Kare-Kare (Low-Sodium)",Lunch/Dinner,"1 cup stew + 1 cup rice",700,65,30,35,"Peanut stew, bagoong on side; reduced salt","Bagoong, Peanut"
"Kare-Kare (With Brown Rice)",Lunch/Dinner,"1 cup stew + 1 cup rice",735,74,31,36,"Peanut stew, bagoong on side; whole grain option","Bagoong, Peanut, Rice"
"Kare-Kare (Fiesta Portion)",Lunch/Dinner,"1 cup stew + 1 cup rice",979,91,42,49,"Peanut stew, bagoong on side","Bagoong, Peanut"
"Kare-Kare (Budget Bowl)",Lunch/Dinner,"1 cup stew + 1 cup rice",595,55,25,29,"Peanut stew, bagoong on side","Bagoong, Peanut"
"Caldereta (Beef) (Small Serving)",Lunch/Dinner,"1 cup (200g)",262,13,19,15,"Tomato-based beef stew","Beef, Tomato"
"Caldereta (Beef) (Large Serving)",Lunch/Dinner,"1 cup (200g)",437,22,32,25,"Tomato-based beef stew","Beef, Tomato"
"Caldereta (Beef) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",350,18,26,20,"Tomato-based beef stew; spicy","Beef, Tomato"
"Caldereta (Beef) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",350,18,26,20,"Tomato-based beef stew; reduced salt","Beef, Tomato"
"Caldereta (Beef) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",367,24,27,21,"Tomato-based beef stew; whole grain option","Beef, Rice, Tomato"
"Caldereta (Beef) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",489,25,36,28,"Tomato-based beef stew","Beef, Tomato"
"Caldereta (Beef) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",297,15,22,17,"Tomato-based beef stew","Beef, Tomato"
"Menudo (Pork) (Small Serving)",Lunch/Dinner,"1 cup (200g)",210,9,16,13,"Tomato-based pork stew","Pork, Tomato"
"Menudo (Pork) (Large Serving)",Lunch/Dinner,"1 cup (200g)",350,15,27,22,"Tomato-based pork stew","Pork, Tomato"
"Menudo (Pork) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",280,12,22,18,"Tomato-based pork stew; spicy","Pork, Tomato"
"Menudo (Pork) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",280,12,22,18,"Tomato-based pork stew; reduced salt","Pork, Tomato"
"Menudo (Pork) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",294,18,23,18,"Tomato-based pork stew; whole grain option","Pork, Rice, Tomato"
"Menudo (Pork) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",392,16,30,25,"Tomato-based pork stew","Pork, Tomato"
"Menudo (Pork) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",238,10,18,15,"Tomato-based pork stew","Pork, Tomato"
"Afritada (Chicken) (Small Serving)",Lunch/Dinner,"1 cup (200g)",217,11,17,10,"Chicken in tomato sauce","Chicken, Tomato"
"Afritada (Chicken) (Large Serving)",Lunch/Dinner,"1 cup (200g)",362,18,28,17,"Chicken in tomato sauce","Chicken, Tomato"
"Afritada (Chicken) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",290,15,23,14,"Chicken in tomato sauce; spicy","Chicken, Tomato"
"Afritada (Chicken) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",290,15,23,14,"Chicken in tomato sauce; reduced salt","Chicken, Tomato"
"Afritada (Chicken) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",304,21,24,14,"Chicken in tomato sauce; whole grain option","Chicken, Rice, Tomato"
"Afritada (Chicken) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",406,21,32,19,"Chicken in tomato sauce","Chicken, Tomato"
"Afritada (Chicken) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",246,12,19,11,"Chicken in tomato sauce","Chicken, Tomato"
"Mechado (Beef) (Small Serving)",Lunch/Dinner,"1 cup (200g)",255,12,19,13,"Beef stew with larded pork","Beef, Larded pork, Pork"
"Mechado (Beef) (Large Serving)",Lunch/Dinner,"1 cup (200g)",425,20,32,22,"Beef stew with larded pork","Beef, Larded pork, Pork"
"Mechado (Beef) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",340,16,26,18,"Beef stew with larded pork; spicy","Beef, Larded pork; spicy, Pork"
"Mechado (Beef) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",340,16,26,18,"Beef stew with larded pork; reduced salt","Beef, Larded pork; reduced salt, Pork"
"Mechado (Beef) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",357,22,27,18,"Beef stew with larded pork; whole grain option","Beef, Larded pork; whole grain option, Pork, Rice"
"Mechado (Beef) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",475,22,36,25,"Beef stew with larded pork","Beef, Larded pork, Pork"
"Mechado (Beef) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",289,13,22,15,"Beef stew with larded pork","Beef, Larded pork, Pork"
"Bicol Express (Small Serving)",Lunch/Dinner,"1 cup (150g)",300,9,13,22,"Spicy pork in coconut milk","Coconut, Coconut milk, Pork"
"Bicol Express (Large Serving)",Lunch/Dinner,"1 cup (150g)",500,15,22,37,"Spicy pork in coconut milk","Coconut, Coconut milk, Pork"
"Bicol Express (Spicy Variant)",Lunch/Dinner,"1 cup (150g)",400,12,18,30,"Spicy pork in coconut milk; spicy","Coconut, Coconut milk, Pork"
"Bicol Express (Low-Sodium)",Lunch/Dinner,"1 cup (150g)",400,12,18,30,"Spicy pork in coconut milk; reduced salt","Coconut, Coconut milk, Pork"
"Bicol Express (With Brown Rice)",Lunch/Dinner,"1 cup (150g)",420,18,18,31,"Spicy pork in coconut milk; whole grain option","Coconut, Coconut milk, Pork, Rice"
"Bicol Express (Fiesta Portion)",Lunch/Dinner,"1 cup (150g)",560,16,25,42,"Spicy pork in coconut milk","Coconut, Coconut milk, Pork"
"Bicol Express (Budget Bowl)",Lunch/Dinner,"1 cup (150g)",340,10,15,25,"Spicy pork in coconut milk","Coconut, Coconut milk, Pork"
"Laing (Small Serving)",Lunch/Dinner,"1 cup (150g)",262,15,7,21,"Dried taro leaves in coconut","Coconut, Taro, Taro leaves"
"Laing (Large Serving)",Lunch/Dinner,"1 cup (150g)",437,25,12,35,"Dried taro leaves in coconut","Coconut, Taro, Taro leaves"
"Laing (Spicy Variant)",Lunch/Dinner,"1 cup (150g)",350,20,10,28,"Dried taro leaves in coconut; spicy","Coconut, Taro, Taro leaves"
"Laing (Low-Sodium)",Lunch/Dinner,"1 cup (150g)",350,20,10,28,"Dried taro leaves in coconut; reduced salt","Coconut, Taro, Taro leaves"
"Laing (With Brown Rice)",Lunch/Dinner,"1 cup (150g)",367,27,10,29,"Dried taro leaves in coconut; whole grain option","Coconut, Rice, Taro, Taro leaves"
"Laing (Fiesta Portion)",Lunch/Dinner,"1 cup (150g)",489,28,14,39,"Dried taro leaves in coconut","Coconut, Taro, Taro leaves"
"Laing (Budget Bowl)",Lunch/Dinner,"1 cup (150g)",297,17,8,23,"Dried taro leaves in coconut","Coconut, Taro, Taro leaves"
"Pinakbet (Ilocano) (Small Serving)",Lunch/Dinner,"1 cup (200g)",135,15,6,4,"Veg stew with bagoong",Bagoong
"Pinakbet (Ilocano) (Large Serving)",Lunch/Dinner,"1 cup (200g)",225,25,10,7,"Veg stew with bagoong",Bagoong
"Pinakbet (Ilocano) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",180,20,8,6,"Veg stew with bagoong; spicy","Bagoong; spicy"
"Pinakbet (Ilocano) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",180,20,8,6,"Veg stew with bagoong; reduced salt","Bagoong; reduced salt"
"Pinakbet (Ilocano) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",189,27,8,6,"Veg stew with bagoong; whole grain option","Bagoong; whole grain option, Rice"
"Pinakbet (Ilocano) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",251,28,11,8,"Veg stew with bagoong",Bagoong
"Pinakbet (Ilocano) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",153,17,6,5,"Veg stew with bagoong",Bagoong
"Dinengdeng (Small Serving)",Lunch/Dinner,"1 bowl (250g)",120,13,7,3,"Light veg soup with grilled fish","Fish, Grilled fish"
"Dinengdeng (Large Serving)",Lunch/Dinner,"1 bowl (250g)",200,22,12,6,"Light veg soup with grilled fish","Fish, Grilled fish"
"Dinengdeng (Spicy Variant)",Lunch/Dinner,"1 bowl (250g)",160,18,10,5,"Light veg soup with grilled fish; spicy","Fish, Grilled fish; spicy"
"Dinengdeng (Low-Sodium)",Lunch/Dinner,"1 bowl (250g)",160,18,10,5,"Light veg soup with grilled fish; reduced salt","Fish, Grilled fish; reduced salt"
"Dinengdeng (With Brown Rice)",Lunch/Dinner,"1 bowl (250g)",168,24,10,5,"Light veg soup with grilled fish; whole grain option","Fish, Grilled fish; whole grain option, Rice"
"Dinengdeng (Fiesta Portion)",Lunch/Dinner,"1 bowl (250g)",224,25,14,7,"Light veg soup with grilled fish","Fish, Grilled fish"
"Dinengdeng (Budget Bowl)",Lunch/Dinner,"1 bowl (250g)",136,15,8,4,"Light veg soup with grilled fish","Fish, Grilled fish"
"Ginataang Sitaw at Kalabasa (Small Serving)",Lunch/Dinner,"1 cup (200g)",210,16,6,13,"String beans & squash in coconut","Coconut, Coconut milk, Squash, String beans"
"Ginataang Sitaw at Kalabasa (Large Serving)",Lunch/Dinner,"1 cup (200g)",350,27,10,22,"String beans & squash in coconut","Coconut, Coconut milk, Squash, String beans"
"Ginataang Sitaw at Kalabasa (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",280,22,8,18,"String beans & squash in coconut; spicy","Coconut, Coconut milk, Squash, String beans"
"Ginataang Sitaw at Kalabasa (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",280,22,8,18,"String beans & squash in coconut; reduced salt","Coconut, Coconut milk, Squash, String beans"
"Ginataang Sitaw at Kalabasa (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",294,29,8,18,"String beans & squash in coconut; whole grain option","Coconut, Coconut milk, Rice, Squash, String beans"
"Ginataang Sitaw at Kalabasa (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",392,30,11,25,"String beans & squash in coconut","Coconut, Coconut milk, Squash, String beans"
"Ginataang Sitaw at Kalabasa (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",238,18,6,15,"String beans & squash in coconut","Coconut, Coconut milk, Squash, String beans"
"Inihaw na Liempo (Small Serving)",Lunch/Dinner,150g,390,2,21,31,"Grilled pork belly",Pork
"Inihaw na Liempo (Large Serving)",Lunch/Dinner,150g,650,3,35,52,"Grilled pork belly",Pork
"Inihaw na Liempo (Spicy Variant)",Lunch/Dinner,150g,520,3,28,42,"Grilled pork belly; spicy",Pork
"Inihaw na Liempo (Low-Sodium)",Lunch/Dinner,150g,520,3,28,42,"Grilled pork belly; reduced salt",Pork
"Inihaw na Liempo (With Brown Rice)",Lunch/Dinner,150g,546,9,29,44,"Grilled pork belly; whole grain option","Pork, Rice"
"Inihaw na Liempo (Fiesta Portion)",Lunch/Dinner,150g,728,4,39,58,"Grilled pork belly",Pork
"Inihaw na Liempo (Budget Bowl)",Lunch/Dinner,150g,442,2,23,35,"Grilled pork belly",Pork
"Chicken Inasal (Small Serving)",Lunch/Dinner,"1 quarter (200g)",240,3,21,15,"Grilled chicken Bacolod-style",Chicken
"Chicken Inasal (Large Serving)",Lunch/Dinner,"1 quarter (200g)",400,5,35,25,"Grilled chicken Bacolod-style",Chicken
"Chicken Inasal (Spicy Variant)",Lunch/Dinner,"1 quarter (200g)",320,4,28,20,"Grilled chicken Bacolod-style; spicy",Chicken
"Chicken Inasal (Low-Sodium)",Lunch/Dinner,"1 quarter (200g)",320,4,28,20,"Grilled chicken Bacolod-style; reduced salt",Chicken
"Chicken Inasal (With Brown Rice)",Lunch/Dinner,"1 quarter (200g)",336,10,29,21,"Grilled chicken Bacolod-style; whole grain option","Chicken, Rice"
"Chicken Inasal (Fiesta Portion)",Lunch/Dinner,"1 quarter (200g)",448,5,39,28,"Grilled chicken Bacolod-style",Chicken
"Chicken Inasal (Budget Bowl)",Lunch/Dinner,"1 quarter (200g)",272,3,23,17,"Grilled chicken Bacolod-style",Chicken
"Lechon Kawali (Small Serving)",Lunch/Dinner,120g,360,4,15,27,"Crispy pan-fried pork belly",Pork
"Lechon Kawali (Large Serving)",Lunch/Dinner,120g,600,7,25,45,"Crispy pan-fried pork belly",Pork
"Lechon Kawali (Spicy Variant)",Lunch/Dinner,120g,480,6,20,36,"Crispy pan-fried pork belly; spicy",Pork
"Lechon Kawali (Low-Sodium)",Lunch/Dinner,120g,480,6,20,36,"Crispy pan-fried pork belly; reduced salt",Pork
"Lechon Kawali (With Brown Rice)",Lunch/Dinner,120g,504,12,21,37,"Crispy pan-fried pork belly; whole grain option","Pork, Rice"
"Lechon Kawali (Fiesta Portion)",Lunch/Dinner,120g,672,8,28,50,"Crispy pan-fried pork belly",Pork
"Lechon Kawali (Budget Bowl)",Lunch/Dinner,120g,408,5,17,30,"Crispy pan-fried pork belly",Pork
"Crispy Pata (Small Serving)",Lunch/Dinner,150g,487,3,22,37,"Deep-fried pork knuckle",Pork
"Crispy Pata (Large Serving)",Lunch/Dinner,150g,812,5,37,62,"Deep-fried pork knuckle",Pork
"Crispy Pata (Spicy Variant)",Lunch/Dinner,150g,650,4,30,50,"Deep-fried pork knuckle; spicy",Pork
"Crispy Pata (Low-Sodium)",Lunch/Dinner,150g,650,4,30,50,"Deep-fried pork knuckle; reduced salt",Pork
"Crispy Pata (With Brown Rice)",Lunch/Dinner,150g,682,10,31,52,"Deep-fried pork knuckle; whole grain option","Pork, Rice"
"Crispy Pata (Fiesta Portion)",Lunch/Dinner,150g,909,5,42,70,"Deep-fried pork knuckle",Pork
"Crispy Pata (Budget Bowl)",Lunch/Dinner,150g,552,3,25,42,"Deep-fried pork knuckle",Pork
"Bistek Tagalog (Small Serving)",Lunch/Dinner,"1 cup (200g)",225,7,21,12,"Beef steak with onions & soy","Beef, Onion, Onions & soy"
"Bistek Tagalog (Large Serving)",Lunch/Dinner,"1 cup (200g)",375,12,35,20,"Beef steak with onions & soy","Beef, Onion, Onions & soy"
"Bistek Tagalog (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",300,10,28,16,"Beef steak with onions & soy; spicy","Beef, Onion, Onions & soy; spicy"
"Bistek Tagalog (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",300,10,28,16,"Beef steak with onions & soy; reduced salt","Beef, Onion, Onions & soy; reduced salt"
"Bistek Tagalog (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",315,16,29,16,"Beef steak with onions & soy; whole grain option","Beef, Onion, Onions & soy; whole grain option, Rice"
"Bistek Tagalog (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",420,14,39,22,"Beef steak with onions & soy","Beef, Onion, Onions & soy"
"Bistek Tagalog (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",255,8,23,13,"Beef steak with onions & soy","Beef, Onion, Onions & soy"
"Giniling (Pork) (Small Serving)",Lunch/Dinner,"1 cup (200g)",240,10,18,13,"Ground pork with peas & carrots","Carrots, Peas, Peas & carrots, Pork"
"Giniling (Pork) (Large Serving)",Lunch/Dinner,"1 cup (200g)",400,17,30,22,"Ground pork with peas & carrots","Carrots, Peas, Peas & carrots, Pork"
"Giniling (Pork) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",320,14,24,18,"Ground pork with peas & carrots; spicy","Carrots, Peas, Peas & carrots; spicy, Pork"
"Giniling (Pork) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",320,14,24,18,"Ground pork with peas & carrots; reduced salt","Carrots, Peas, Peas & carrots; reduced salt, Pork"
"Giniling (Pork) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",336,20,25,18,"Ground pork with peas & carrots; whole grain option","Carrots, Peas, Peas & carrots; whole grain option, Pork, Rice"
"Giniling (Pork) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",448,19,33,25,"Ground pork with peas & carrots","Carrots, Peas, Peas & carrots, Pork"
"Giniling (Pork) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",272,11,20,15,"Ground pork with peas & carrots","Carrots, Peas, Peas & carrots, Pork"
"Tokwa't Baboy (Small Serving)",Snack/Lunch,"1 plate (200g)",240,10,16,13,"Fried tofu & pork in vinegar",Pork
"Tokwa't Baboy (Large Serving)",Snack/Lunch,"1 plate (200g)",400,17,27,22,"Fried tofu & pork in vinegar",Pork
"Tokwa't Baboy (Spicy Variant)",Snack/Lunch,"1 plate (200g)",320,14,22,18,"Fried tofu & pork in vinegar; spicy",Pork
"Tokwa't Baboy (Low-Sodium)",Snack/Lunch,"1 plate (200g)",320,14,22,18,"Fried tofu & pork in vinegar; reduced salt",Pork
"Tokwa't Baboy (With Brown Rice)",Snack/Lunch,"1 plate (200g)",336,20,23,18,"Fried tofu & pork in vinegar; whole grain option","Pork, Rice"
"Tokwa't Baboy (Fiesta Portion)",Snack/Lunch,"1 plate (200g)",448,19,30,25,"Fried tofu & pork in vinegar",Pork
"Tokwa't Baboy (Budget Bowl)",Snack/Lunch,"1 plate (200g)",272,11,18,15,"Fried tofu & pork in vinegar",Pork
"Sinigang na Baboy (Small Serving)",Lunch/Dinner,"1 bowl (250g)",225,6,16,15,"Sour tamarind soup","Pork, Tamarind, Vegetables"
"Sinigang na Baboy (Large Serving)",Lunch/Dinner,"1 bowl (250g)",375,10,27,25,"Sour tamarind soup","Pork, Tamarind, Vegetables"
"Sinigang na Baboy (Spicy Variant)",Lunch/Dinner,"1 bowl (250g)",300,8,22,20,"Sour tamarind soup; spicy","Pork, Tamarind, Vegetables"
"Sinigang na Baboy (Low-Sodium)",Lunch/Dinner,"1 bowl (250g)",300,8,22,20,"Sour tamarind soup; reduced salt","Pork, Tamarind, Vegetables"
"Sinigang na Baboy (With Brown Rice)",Lunch/Dinner,"1 bowl (250g)",315,14,23,21,"Sour tamarind soup; whole grain option","Pork, Rice, Tamarind, Vegetables"
"Sinigang na Baboy (Fiesta Portion)",Lunch/Dinner,"1 bowl (250g)",420,11,30,28,"Sour tamarind soup","Pork, Tamarind, Vegetables"
"Sinigang na Baboy (Budget Bowl)",Lunch/Dinner,"1 bowl (250g)",255,6,18,17,"Sour tamarind soup","Pork, Tamarind, Vegetables"
"Sinigang na Baka (Small Serving)",Lunch/Dinner,"1 bowl (250g)",240,6,18,16,"Beef version","Beef, Tamarind, Vegetables"
"Sinigang na Baka (Large Serving)",Lunch/Dinner,"1 bowl (250g)",400,10,30,27,"Beef version","Beef, Tamarind, Vegetables"
"Sinigang na Baka (Spicy Variant)",Lunch/Dinner,"1 bowl (250g)",320,8,24,22,"Beef version; spicy","Beef, Tamarind, Vegetables"
"Sinigang na Baka (Low-Sodium)",Lunch/Dinner,"1 bowl (250g)",320,8,24,22,"Beef version; reduced salt","Beef, Tamarind, Vegetables"
"Sinigang na Baka (With Brown Rice)",Lunch/Dinner,"1 bowl (250g)",336,14,25,23,"Beef version; whole grain option","Beef, Rice, Tamarind, Vegetables"
"Sinigang na Baka (Fiesta Portion)",Lunch/Dinner,"1 bowl (250g)",448,11,33,30,"Beef version","Beef, Tamarind, Vegetables"
"Sinigang na Baka (Budget Bowl)",Lunch/Dinner,"1 bowl (250g)",272,6,20,18,"Beef version","Beef, Tamarind, Vegetables"
"Sinigang na Hipon (Small Serving)",Lunch/Dinner,"1 bowl (250g)",187,5,15,11,"Shrimp version","Hipon, Shrimp, Tamarind, Vegetables"
"Sinigang na Hipon (Large Serving)",Lunch/Dinner,"1 bowl (250g)",312,8,25,18,"Shrimp version","Hipon, Shrimp, Tamarind, Vegetables"
"Sinigang na Hipon (Spicy Variant)",Lunch/Dinner,"1 bowl (250g)",250,7,20,15,"Shrimp version; spicy","Hipon, Shrimp, Tamarind, Vegetables"
"Sinigang na Hipon (Low-Sodium)",Lunch/Dinner,"1 bowl (250g)",250,7,20,15,"Shrimp version; reduced salt","Hipon, Shrimp, Tamarind, Vegetables"
"Sinigang na Hipon (With Brown Rice)",Lunch/Dinner,"1 bowl (250g)",262,13,21,15,"Shrimp version; whole grain option","Hipon, Rice, Shrimp, Tamarind, Vegetables"
"Sinigang na Hipon (Fiesta Portion)",Lunch/Dinner,"1 bowl (250g)",350,9,28,21,"Shrimp version","Hipon, Shrimp, Tamarind, Vegetables"
"Sinigang na Hipon (Budget Bowl)",Lunch/Dinner,"1 bowl (250g)",212,5,17,12,"Shrimp version","Hipon, Shrimp, Tamarind, Vegetables"
"Sinigang sa Miso (Bangus) (Small Serving)",Lunch/Dinner,"1 bowl (250g)",210,6,16,12,"Milkfish in miso-tamarind soup","Bangus, Fish, Tamarind, Vegetables"
"Sinigang sa Miso (Bangus) (Large Serving)",Lunch/Dinner,"1 bowl (250g)",350,11,27,20,"Milkfish in miso-tamarind soup","Bangus, Fish, Tamarind, Vegetables"
"Sinigang sa Miso (Bangus) (Spicy Variant)",Lunch/Dinner,"1 bowl (250g)",280,9,22,16,"Milkfish in miso-tamarind soup; spicy","Bangus, Fish, Tamarind, Vegetables"
"Sinigang sa Miso (Bangus) (Low-Sodium)",Lunch/Dinner,"1 bowl (250g)",280,9,22,16,"Milkfish in miso-tamarind soup; reduced salt","Bangus, Fish, Tamarind, Vegetables"
"Sinigang sa Miso (Bangus) (With Brown Rice)",Lunch/Dinner,"1 bowl (250g)",294,15,23,16,"Milkfish in miso-tamarind soup; whole grain option","Bangus, Fish, Rice, Tamarind, Vegetables"
"Sinigang sa Miso (Bangus) (Fiesta Portion)",Lunch/Dinner,"1 bowl (250g)",392,12,30,22,"Milkfish in miso-tamarind soup","Bangus, Fish, Tamarind, Vegetables"
"Sinigang sa Miso (Bangus) (Budget Bowl)",Lunch/Dinner,"1 bowl (250g)",238,7,18,13,"Milkfish in miso-tamarind soup","Bangus, Fish, Tamarind, Vegetables"
"Tinola (Chicken) (Small Serving)",Lunch/Dinner,"1 bowl (250g)",157,4,18,7,"Ginger broth with papaya & sayote","Chayote, Chicken, Papaya, Papaya & sayote"
"Tinola (Chicken) (Large Serving)",Lunch/Dinner,"1 bowl (250g)",262,7,31,12,"Ginger broth with papaya & sayote","Chayote, Chicken, Papaya, Papaya & sayote"
"Tinola (Chicken) (Spicy Variant)",Lunch/Dinner,"1 bowl (250g)",210,6,25,10,"Ginger broth with papaya & sayote; spicy","Chayote, Chicken, Papaya, Papaya & sayote; spicy"
"Tinola (Chicken) (Low-Sodium)",Lunch/Dinner,"1 bowl (250g)",210,6,25,10,"Ginger broth with papaya & sayote; reduced salt","Chayote, Chicken, Papaya, Papaya & sayote; reduced salt"
"Tinola (Chicken) (With Brown Rice)",Lunch/Dinner,"1 bowl (250g)",220,12,26,10,"Ginger broth with papaya & sayote; whole grain option","Chayote, Chicken, Papaya, Papaya & sayote; whole grain option, Rice"
"Tinola (Chicken) (Fiesta Portion)",Lunch/Dinner,"1 bowl (250g)",294,8,35,14,"Ginger broth with papaya & sayote","Chayote, Chicken, Papaya, Papaya & sayote"
"Tinola (Chicken) (Budget Bowl)",Lunch/Dinner,"1 bowl (250g)",178,5,21,8,"Ginger broth with papaya & sayote","Chayote, Chicken, Papaya, Papaya & sayote"
"Nilagang Baka (Small Serving)",Lunch/Dinner,"1 bowl (250g)",210,7,18,12,"Boiled beef soup with veggies","Beef, Egg, Veggies"
"Nilagang Baka (Large Serving)",Lunch/Dinner,"1 bowl (250g)",350,12,30,20,"Boiled beef soup with veggies","Beef, Egg, Veggies"
"Nilagang Baka (Spicy Variant)",Lunch/Dinner,"1 bowl (250g)",280,10,24,16,"Boiled beef soup with veggies; spicy","Beef, Egg, Veggies; spicy"
